[2025-04-22T10:20:38.453+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: readsb_hist_dag.download_readsb_hist scheduled__2024-10-01T00:00:00+00:00 [queued]>
[2025-04-22T10:20:38.457+0000] {taskinstance.py:1159} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: readsb_hist_dag.download_readsb_hist scheduled__2024-10-01T00:00:00+00:00 [queued]>
[2025-04-22T10:20:38.458+0000] {taskinstance.py:1361} INFO - Starting attempt 1 of 2
[2025-04-22T10:23:27.457+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000635Z.json.gz
[2025-04-22T10:23:29.383+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000640Z.json.gz
[2025-04-22T10:23:31.629+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000645Z.json.gz
[2025-04-22T10:23:33.575+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000650Z.json.gz
[2025-04-22T10:23:36.152+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000655Z.json.gz
[2025-04-22T10:23:37.715+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000700Z.json.gz
[2025-04-22T10:23:39.173+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000705Z.json.gz
[2025-04-22T10:23:40.432+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000710Z.json.gz
[2025-04-22T10:23:42.869+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000715Z.json.gz
[2025-04-22T10:23:44.440+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000720Z.json.gz
[2025-04-22T10:23:45.776+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000725Z.json.gz
[2025-04-22T10:23:47.134+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000730Z.json.gz
[2025-04-22T10:23:49.087+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000735Z.json.gz
[2025-04-22T10:23:50.526+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000740Z.json.gz
[2025-04-22T10:23:52.761+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000745Z.json.gz
[2025-04-22T10:23:54.188+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000750Z.json.gz
[2025-04-22T10:23:58.010+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000755Z.json.gz
[2025-04-22T10:24:00.799+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000800Z.json.gz
[2025-04-22T10:24:02.060+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000805Z.json.gz
[2025-04-22T10:24:03.376+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000810Z.json.gz
[2025-04-22T10:24:05.673+0000] {logging_mixin.py:154} INFO - [S3] Uploaded to s3://bdi-aircraft-marioalbz/raw/day=20241001/000815Z.json.gz
[2025-04-22T10:24:05.833+0000] {python.py:194} INFO - Done. Returned value was: None
[2025-04-22T10:24:05.878+0000] {taskinstance.py:1400} INFO - Marking task as SUCCESS. dag_id=readsb_hist_dag, task_id=download_readsb_hist, execution_date=20241001T000000, start_date=20250422T102038, end_date=20250422T102405
[2025-04-22T10:24:05.931+0000] {local_task_job_runner.py:228} INFO - Task exited with return code 0
[2025-04-22T10:24:05.987+0000] {taskinstance.py:2778} INFO - 1 downstream tasks scheduled from follow-on schedule check
